Attributes,close,close,close,close,close,close,high,high,high,high,high,high,low,low,low,low,low,low,open,open,open,open,open,open,volume,volume,volume,volume,volume,volume
Symbols,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax
2008-12-11,1879.7,254.84,3306.13,676.78,5729.85,4767.2,1909.77,257.49,3342.72,688.33,5744.79,4822.21,1875.89,252.1,3263.15,669.73,5629.07,4710.04,1903.59,256.01,3309.0,688.33,5712.37,4791.56,35426172.0,,138359475.0,156099776.0,63853388.0,138754912.0
2008-12-12,1854.84,247.87,3213.6,659.8,5636.17,4663.37,1861.88,251.27,3242.37,676.78,5654.8,4699.06,1804.37,240.29,3114.77,646.27,5492.64,4521.52,1819.44,251.27,3172.19,676.78,5534.74,4660.05,25461996.0,,176095434.0,142859856.0,79753936.0,172964656.0
2008-12-15,1873.11,247.24,3185.66,651.18,5526.54,4654.82,1880.61,252.38,3269.11,672.12,5702.19,4773.32,1851.65,245.5,3171.65,650.5,5493.3,4627.46,1873.55,249.87,3258.25,659.8,5676.34,4718.39,18980620.0,,111534304.0,119412528.0,63189732.0,115337672.0
2008-12-16,1862.68,248.07,3251.66,667.0,5567.14,4729.91,1865.42,249.48,3251.66,667.0,5580.49,4758.27,1830.28,245.08,3176.7,650.25,5479.34,4655.87,1863.38,246.53,3186.43,651.18,5524.29,4663.36,27807056.0,,112584316.0,134465824.0,65113968.0,152121424.0
2008-12-17,1859.62,247.45,3241.92,664.34,5548.2,4708.38,1892.6,251.13,3305.02,679.25,5651.71,4784.41,1832.54,243.7,3187.72,655.02,5489.92,4639.17,1887.44,248.28,3281.82,667.0,5638.1,4768.71,40675568.0,,148339859.0,151976032.0,81240808.0,163026144.0
2008-12-18,1881.85,249.88,3234.15,672.26,5515.05,4756.4,1889.83,251.24,3260.01,676.98,5628.44,4784.72,1852.26,247.43,3196.91,664.34,5484.02,4715.82,1861.13,247.93,3246.86,664.34,5595.27,4730.1,35542320.0,,134593868.0,142829488.0,63985428.0,132174296.0
2008-12-19,1861.45,249.62,3225.9,663.98,5459.86,4696.7,1891.31,253.1,3248.92,672.26,5530.77,4785.32,1848.75,245.08,3146.82,663.03,5389.75,4647.13,1884.24,249.77,3190.15,672.26,5448.86,4720.88,50934248.0,,178892739.0,138924448.0,137669248.0,294043520.0
2008-12-22,1845.08,243.68,3151.36,655.63,5419.52,4639.02,1870.28,247.9,3209.35,664.44,5493.69,4701.11,1842.44,243.47,3151.36,650.8,5402.38,4575.52,1865.46,247.85,3201.66,663.98,5424.06,4693.66,24742204.0,,111159674.0,108986064.0,50145248.0,138374352.0
2008-12-23,1863.39,244.61,3128.41,659.18,5399.58,4629.38,1889.65,248.88,3188.42,661.41,5485.97,4718.6,1849.85,242.56,3128.41,650.12,5399.05,4622.97,1852.51,242.56,3154.4,655.63,5449.9,4633.47,19925000.0,,81596865.0,87053264.0,35996084.0,106816608.0
2008-12-24,1846.63,241.89,3116.21,,,,1867.94,244.23,3150.23,,,,1840.69,240.65,3094.69,,,,1860.73,244.23,3111.02,,,,5753638.0,,27899387.0,,,
2008-12-29,1883.17,240.46,3130.72,657.27,5464.96,4704.86,1893.13,245.25,3169.25,665.46,5517.89,4732.85,1868.07,239.38,3105.07,654.48,5393.98,4655.91,1869.6,242.61,3139.24,659.18,5416.59,4660.17,12107945.0,,50944451.0,59024228.0,31449976.0,100696992.0
2008-12-30,1907.12,246.34,3217.13,662.33,5534.53,4810.2,1915.88,246.34,3217.13,666.76,5582.12,4810.41,1886.47,240.82,3151.03,657.27,5513.85,4754.22,1898.55,240.82,3160.43,657.27,5528.69,4754.22,9557867.0,,55107842.0,101104976.0,34997640.0,92359472.0
2008-12-31,1908.64,245.94,3217.97,,,,1930.85,249.07,3264.5,,,,1905.44,245.94,3217.97,,,,1916.25,248.42,3242.3,,,,6536330.0,,36142311.0,,,
2009-01-02,1980.77,257.88,3349.69,693.78,,4973.07,1980.77,257.88,3349.69,695.72,,4974.73,1924.31,247.87,3219.55,662.33,,4838.49,1941.03,248.67,3240.75,662.33,,4856.85,13987176.0,,70329785.0,82136752.0,,91772144.0
2009-01-05,2004.32,261.46,3359.92,693.76,5756.09,4983.99,2016.78,262.11,3382.85,704.23,5772.73,5034.85,1969.69,256.75,3323.12,690.62,5696.36,4949.36,2003.17,260.99,3381.28,693.78,5734.13,5010.18,22553728.0,,114924495.0,52067744.0,61720264.0,150630528.0
2009-01-06,1997.28,268.65,3396.22,,5799.31,5026.31,2008.06,271.88,3426.04,,5881.47,5111.02,1978.99,259.45,3339.29,,5731.32,4960.21,2007.54,261.77,3372.78,,5778.76,4992.67,20955820.0,,112383538.0,,65399824.0,120803016.0
